url,keywords
https://www.imdb.com/title/tt0111161/,"prison, based on the works of stephen king, escape from prison, wrongful conviction, 1940s, police brutality, suicide by hanging, suicide, solitary confinement, plot twist, male rape, redemption, maggot, brutality, trial, based on novella, sexual assault, parole board, prison guard, male nudity, bank, rainstorm, shoe, beach, carving, tin box, loudspeaker, contraband, portland maine, regret, tarring roof, interracial friendship, adultery, illiteracy, maine, embezzlement, parole, death of friend, surprise ending, gay rape, 1950s, first person narration, zihuatanejo mexico, hope, rooftop, friendship, bible, banker, sex standing up, shower room, library, abuse of power, corruption, empathy, chess, humanism, 1960s, digging, assault, wager, arrest, prison drama, suicide by gunshot, opera, bird, life sentence, prison rape, cuckold, narration, supermarket, store room, gang rape, national film registry, murder, basalt, phonograph, money laundering, aria, adding machine, oak tree, beaten to death, shiv, billy club, warden, sewer, tunnel, rock hammer, male bonding, beer, accountant, bribery, bromance, cult film, tree, convict, postcard, harmonica, wall safe, prison bus, poster"
https://www.imdb.com/title/tt0068646/,"mafia, patriarch, crime family, organized crime, gangster, rise to power, gambling syndicate, part of trilogy, father son relationship, wedding, revenge, murder, corrupt cop, crime boss, mob hit, new york city, family relationships, betrayal, 1940s, 1950s, severed horse's head, mobster, mercilessness, mob summit, manhattan new york city, bronx new york city, epic, death of title character, mob violence, police officer killed, brother sister relationship, brother brother relationship, based on novel, italian american, casino, dysfunctional family, italy, first of series, italian restaurant, assassination attempt, brutality, mob enforcer, mob war, tommy gun, pistol, adopted son, loss of husband, honor, love at first sight, loss of son, loss of wife, loss of father, sibling rivalry, father daughter relationship, catholic, baptism, catholic church, wedding reception, famous line, lawyer, famous score, fugitive, police brutality, undertaker, domestic violence, horse killed, car bomb, extramarital affair, funeral, title spoken by character, neo noir, dancing, cannoli, immigrant, heroin trafficking, irish american, gangster as protagonist, mafioso, gangster crime, loss of brother, police officer, vengeance, american mafia, racketeering, drug trafficking, national film registry, godfather, first part, crooked lawyer, police corruption, horse, female nudity, hospital, world war two veteran, no opening credits, blood, sex scene, marriage, massage, tollbooth"
https://www.imdb.com/title/tt0468569/,"psychopath, superhero, moral dilemma, clown, criminal mastermind, dual identity, based on comic book, clown mask, electronic music score, psychological manipulation, billionaire, batman character, star died before release, batmobile, sequel, skyscraper, tragic hero, evil clown, neo noir, opening action scene, disfigurement, second part, sequel to a reboot, joker character, no opening credits, no title at beginning, title at the end, epic, urban setting, love triangle, mobster, human monster, race against time, henchman, jujitsu, magic trick, face paint, mafia, organized crime, blockbuster, famous score, false confession, city hall, hero, electronic music score in style of orchestral music score, famous line, alfred pennyworth character, district attorney, coin flip, nihilism, stylized violence, grenade, rpg, knife, billiards, schizophrenia, sadism, clown makeup, burning money, murder, dark hero, anti hero, chaos, presumed dead, dark past, dog attack, title spoken by character, same director as prequel, written by director, bank robbery, animal attack, costumed hero, secret past, card game, audio surveillance, sailboat, final showdown, alley, flashback, battle ends with tie, ninjitsu, part of series, nerd, scream, television station, man dresses as a woman, three word title, dog, number in character's name, police, hero becomes villain, child in jeopardy, superhero action, two face character, batman, national film registry, fight, hong kong, beaten to death, egg timer"
https://www.imdb.com/title/tt0071562/,"revenge, 1950s, cuban revolution, sicily, sicilian mafia, mother son relationship, murder, gangster, las vegas nevada, havana cuba, italian american, organized crime, lake tahoe nevada, mafia, suicide, neo noir, assassination, protection racket, garrote, government hearing, brother sister relationship, brother brother relationship, immigration, witness protection, ethnic slur, senator, orphan, sequel, miami florida, extortion, abortion, epic, 1920s, jewish mafia, political corruption, fratricide, new year's eve, female nudity, dysfunctional family, landlord, domestic violence, catholic, fishing, birthday party, american dream, national film registry, consigliere, sicilian american, ethnocentrism, irish american, murder of a prostitute, mob war, revolver, tommy gun, hand grenade, forgiveness, vendetta, murder at a funeral, kiss of death, mafia don, hotel, villain as protagonist, family relationships, rise to power, melancholy, dysfunctional marriage, wheelchair, shotgun, sicily italy, shootout, perjury, brothel, bar, mob violence, burglary, new york city, blockbuster, mob hit, quarantine, washington d.c., betrayal, blackmail, 1940s, crime boss, village, wake, 1900s, suicide bomber, rooftop, loss of mother, train station, name change, famous score, marital separation, crime epic, festival, stabbing, sibling rivalry, divorcee, based on novel"
https://www.imdb.com/title/tt0108052/,"holocaust, nazi, nazi concentration camp, german, jewish, world war two, auschwitz, based on true story, accountant, anti semitism, 1940s, nazi occupied poland, list, krakow poland, ss, mass murder, ghetto, identification papers, schindler jews, pistol, shot in the head, mass grave, liberation, racism, good versus evil, rescue, rabbi, industrialist, gratitude, shower, swastika, enamelware, what happened to epilogue, 1930s, coat, cracow poland, nazi officer, genocide, anti nazi, national film registry, oskar schindler character, extermination camp, shoah, death of title character, champagne, child in jeopardy, soap, murder of a child, progeny, poland, female frontal nudity, execution, female nudity, female rear nudity, male nudity, businessman, factory, holocaust survivor, engineer, foundation, shaved head, barracks, doctor, tailor made clothing, rifle scope, lice, secretary, infestation, gold tooth, lapel pin, fellow traveler, talmud, architect, plaszow, judenrat, sabbath, shabbat, jewish wedding custom, boxcar, suitcase, wedding, menorah, avenue of the righteous, yad vashem, famous score, psychopath, emaciation, starvation, hiding under a bed, widow, typewriter, machine gun, murder, forgiveness, honor, cruelty, hero, urination, ring, prologue"
https://www.imdb.com/title/tt0167260/,"journey, orc, hobbit, battle, quest, good versus evil, epic, king, wizard, middle earth, male protagonist, fate, falling into lava, race against time, lava, volcano, volcanic eruption, curse, courage, ring, elrond character, galadriel character, legolas character, gollum character, frodo baggins character, saruman the white character, gandalf character, bilbo baggins character, third part, sequel, violence, ensemble cast, battleaxe, tree, dead tree, barefoot, swordsman, mountain, royal, death, bowing, throne, fireplace, hatred, army, flying creature, ruins, ambush, outpost, signal, singing, blockbuster, cult classic, famous score, no opening credits, part computer animation, orchestral music score, symphonic music score, third in trilogy, flashback, returning character killed off, sequel to cult favorite, colon in title, ten word title, last of series, fictional war, city, gate, elvish, camaraderie, anti hero, drinking, final battle, kingdom, last stand, staff, sword and fantasy, axe fight, hand to hand combat, ancient race, journey shown on map, finger bitten off, shot back to back, invented language, mission, magic, tragic hero, wilhelm scream, tragic villain, tied up, dark hero, light, split personality, ship, plain, horse, wedding ceremony, sorcerer, monster, fire"
https://www.imdb.com/title/tt0120737/,"ring, quest, middle earth, hobbit, elf, based on novel, orc, wizard, lord of the rings, riddle, hidden door, warrior, friendship, epic, forced perspective, volcano, forest, river, giant bird, fireworks, moth, horseback chase, loyalty, abyss, good versus evil, goblin, tomb, sword, eagle, birthday party, eavesdropping, ruins, fireplace, sword and sorcery, frodo baggins character, gandalf character, magic, mine, trilogy, sword and fantasy, tower, campfire, temptation, staff, magical ring, healing, council, broken sword, honor, monster, fortress, armor, castle, troll, courage, battle, immortality, leaving home, bravery, self sacrifice, blockbuster, famous line, part of trilogy, gollum character, bilbo baggins character, journey, fate, free will, obsession, test of courage, swamp, singing, explosion, spell, celebration, first of trilogy, orchestral music score, first of series, high fantasy, birthday, mountain, road movie, creature, giant monster, part computer animation, reluctant hero, death of friend, famous score, death of hero, no opening credits, aragorn character, abandoned mine, wraith, waterfall, archery, heroism, inn, redemption, frost, corruption"
https://www.imdb.com/title/tt0110912/,"nonlinear timeline, overdose, drug use, drug overdose, rape, car accident, anal rape, drug dealer, dance contest, neo noir, organized crime, bondage, serial rapist, sexual assault, sexual predator, restaurant robbery, tied to a chair, hitman, double cross, shootout, murder, drugs, boxer, motel, dark comedy, 1990s, torture, bound and gagged, ensemble cast, oral sex, car crash, redemption, ball gag, hit by a car, near death experience, corpse, covered in blood, shower, strip club, shot in the face, los angeles california, heroin, robbery, sex slave, restaurant, baseball bat, nosebleed, celebrity impersonator, racial slur, interlinked stories, multiple perspectives, brutality, director cameo, male nudity, briefcase, diner, implied cunnilingus, problem solver, adrenaline, twist the dance, wristwatch, chapter headings, anti hero, vietnam war veteran, national film registry, foot fetish, male rape victim, vulgarity, chase, toilet, addiction, sadism, katana, crime boss, hypodermic needle, bullet hole, blood, silencer, automatic weapon, bar, surrender, cardiac injection, shotgun, heirloom, freeze frame, assault, rescue, accidental killing, cocaine, accidental shooting, shot in the head, african american, themed restaurant, gore, famous line, plot twist, directed by co star, psychopath, grindhouse film, racism"
https://www.imdb.com/title/tt0137523/,"surprise ending, anti establishment, insomnia, multiple personality disorder, group therapy, plot twist, fight, dissociative identity disorder, anti social behavior, anti capitalism, based on novel, alter ego, anti conformity, graphic violence, loss of control, homoerotic, breaking the fourth wall, unreliable narrator, testicular cancer, unnamed protagonist, support group, listening to sex, breast exam, reference to william shatner, manic pixie dream girl, shot in the head, secret society, self inflicted gunshot wound, ikea, self destructiveness, suicide attempt, consumerism, schizophrenia, sadomasochism, bare chested male, sexual desire, mental instability, alienation, imaginary friend, violence, sex scene, masochism, cult film, old dark house, anti hero, based on book, man sits on a toilet, man wears boxer shorts, man wears underwear in public, reference to meryl streep, reference to sylvia plath, airplane crash, narrator, handsome man, male frontal nudity, rage, missionary position, sex in missionary position, urinating in food, reference to abraham lincoln, reference to ernest hemingway, sex dream, household cleaning gloves, reference to martha stewart, philosophical conversation, breasts, title fight, beaten to a pulp, sex in bed, brutality, gun, dead man, bitterness, anger, anti authority, mass destruction, shot to death, shooting, tough guy, talking to the camera, fighting the system, anarchism, sadism, female nudity, death, gun in mouth, insanity, identity, mental illness, self mutilation, self inflicted burn injury, defacing property, subliminal message, vandalism, male nudity, philosophy, gay subtext, anti consumerism, underground fight club, cult classic"
https://www.imdb.com/title/tt0167261/,"middle earth, wizard, hobbit, orc, mission, evil wizard, tower, presumed dead, epic, lord of the rings, treason, good versus evil, forest, resurrection, loss of brother, swamp, split personality, elrond character, galadriel character, gollum character, frodo baggins character, legolas character, saruman the white character, gandalf character, chaste character, motion capture, epic battle, cult film, cult classic, blockbuster, second in trilogy, trilogy, ensemble cast, close up of eyes, samwise gamgee character, gimli character, boromir character, aragorn character, second part, famous score, famous line, part computer animation, colon in title, sequel to cult favorite, no opening credits, orchestral music score, eight word title, part of trilogy, multiple cameos, fictional war, dark fantasy, army, attack, evil, quest, elf, guide, sequel, walking tree, flashback, monster, shot back to back, violence, race against time, melodrama, magic, animate tree, idealism, brotherhood, city in ruins, flaming arrow, cannibalism, dream sequence, castle, immortality, eye, based on novel, wilhelm scream, male protagonist, magical ring, high fantasy, invisibility, fantasy world, ring, escalade, elvish, anti war, camaraderie, anti hero, hand to hand combat, evil man, schizophrenia, traitor, last stand, suicide bomber, warrior race, tragic hero, wizards' duel, warrior, honor"
